word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
:mind,1,1,1,2,2,0,13,2,5,3,1,3,2,1,3,1,1
:own,8,5,4,5,13,8,8,2,4,4,1,4,2,8,3,15,7
:ego,2,0,0,2,0,0,0,1,1,1,0,0,1,0,0,2,0
:personalities,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
:strangers,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
:take,3,0,8,2,2,0,0,1,0,1,6,6,2,4,4,3,1
:possession,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1
:after,3,3,2,1,3,4,1,2,1,6,5,6,4,2,1,3,1
:another,2,2,6,6,3,4,3,2,1,1,1,3,2,9,2,7,6
:each,2,0,3,7,2,1,3,2,1,3,2,1,1,3,0,7,3
:these,9,12,11,3,13,1,8,5,5,9,3,5,3,2,13,6,10
:crowds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:trouble,1,0,1,0,1,0,1,0,4,1,4,0,7,0,0,2,2
:work,3,18,7,1,3,72,21,15,2,2,3,2,19,7,2,5,2
:hour,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
:crowd,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:see,4,1,2,0,2,1,2,2,1,4,0,0,1,2,1,2,0
:anxiety,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0
:excessive,3,0,1,0,0,1,0,0,0,0,1,0,3,0,1,0,0
:concentration,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
:dyspepsia,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
:lack,1,0,1,2,1,0,1,0,3,0,0,0,1,1,0,3,1
:interest,7,11,16,2,1,1,3,0,2,0,0,0,1,0,1,2,0
:anything,1,2,1,2,0,2,2,3,0,2,1,2,3,1,2,2,3
:struggle,1,0,0,0,0,0,0,1,0,1,8,0,1,0,0,0,0
:incapacity,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
:play,1,1,2,3,2,0,2,3,0,0,2,1,0,0,1,0,0
:unconsciousness,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:fellow,1,1,3,0,0,0,0,1,0,1,2,0,0,2,0,0,1
:creatures,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
:road,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0
:men,11,11,21,11,9,19,9,10,4,9,10,8,13,8,9,4,7
:women,4,1,8,9,21,6,7,4,0,0,1,1,5,9,4,0,2
:all,17,11,19,9,23,5,14,8,3,31,10,12,19,13,16,12,11
:comfortably,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
:off,1,1,2,1,1,0,0,0,0,0,2,0,3,0,2,1,1
:some,7,7,14,5,11,8,9,10,7,10,7,6,15,6,3,13,12
:very,7,13,11,7,20,5,14,5,3,6,6,4,14,4,8,9,7
:rich,5,1,1,0,0,4,0,1,0,2,4,1,3,3,0,0,0
:engaged,1,0,2,0,1,0,1,1,0,0,2,0,0,0,1,0,1
:pursuit,2,0,1,0,0,0,1,2,1,0,1,2,0,0,0,1,0
:pleasure,5,8,5,2,3,6,0,0,0,1,4,6,3,1,4,5,3
:conducted,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:uniform,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:pace,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
:slowest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:car,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2
:procession,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:impossible,1,2,4,1,2,0,0,0,1,0,2,2,5,1,2,1,4
:cars,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
:scenery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:since,5,7,11,8,7,3,2,5,0,3,3,2,2,0,8,6,6
:looking,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
:aside,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:would,3,5,8,6,6,8,0,7,3,16,7,10,12,11,9,5,5
:cause,4,4,0,3,2,0,1,2,0,2,1,3,2,5,4,3,5
:accident,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
